Qty;Value;Device;Package;Parts;Description;MF;RS-Online
1;;FE05-2W;FE05-2W;J5V;FEMALE HEADER;;135-5026
1;;FE06-2W;FE06-2W;J3V3;FEMALE HEADER;;832-3547
1;;FE16W;1X16;DISPLAY;PIN HEADER;;674-1546
1;;PINHD-1X3/90;1X03/90;JRW;PIN HEADER;;828-1654
1;;TXB0108PWR;TSSOP20;U1;8-Bit Bi-Directional Level Shifter;;709-9038
2;100n;C-EUC0603;C0603;C3, C7;CAPACITOR, European symbol;;801-5237
1;10k;TRIMPOTTC33X;TC33X;TM2;SMT trimmer potentiometer part number TC33X;;486-7526
2;10n;C-EUC0603;C0603;C4, C8;CAPACITOR, European symbol;;264-4630
2;10u;C-EUC0603;C0603;C1, C5;CAPACITOR, European symbol;;815-1377
2;1u;C-EUC0603;C0603;C2, C6;CAPACITOR, European symbol;;801-5243
1;500;TRIMPOTTC33X;TC33X;TM1;SMT trimmer potentiometer part number TC33X;;486-7582
1;200m;PTCFUSE-1206;R1206;F1;PTC fuses, resettable thermistors;;647-8279
1;5.5x2.1mm Barrel;POWER_JACKSMD;POWER_JACK_SMD;DC5V;Power Jack Connector;;122-4878
